Salinity (psu),Temperature (°C),Initial Polyps,End Polyps,Net Increase,Ammonia Nitrogen (mg/L),Oxygen Consumption,pH,Phosphate (mg/L),Nitrate (mg/L),Turbidity (NTU),Dissolved Oxygen (mg/L),Chlorophyll-a concentration (mg/m³),Biological Oxygen Demand (BOD) (mg/L),Sea Surface Temperature (SST) (°C),Total Suspended Solids (TSS) (mg/L),Water Current Speed (m/s)
26,24,6.857042838250704,11.818867781994046,18.90631577401469,0.04744766713866109,0.7314712440186637,8.349100282784732,0.11026699609445051,0.3958431876000549,2.5591344951035815,6.994534025761116,0.345418867008262,3.669447189967232,25.6706374905082,78.5337117697088,0.23257223827652873
39,19,6.329255683271567,30.699992119268302,26.167795056600692,0.012638840744039696,0.32707484439071677,8.079123259873002,0.10594752594563461,0.2670556023474811,7.120243106813443,5.180238327678902,2.838345414972389,3.0561711587128166,28.464597793313782,54.78808069417074,0.44521517066559807
34,34,8.23045061731254,30.702896747135302,25.02985018012636,0.06656474719812158,1.762952293531417,7.8379129675647095,0.05145341352659907,0.3946607500899152,9.514081831292192,5.744136245485114,1.6001316265269871,2.4533889338593777,30.73489719700519,34.73842852829378,0.3502950735571625
30,28,7.496669174893091,37.91820414539611,6.853605483307864,0.032450716712197035,0.38520027261161804,8.158912499963117,0.05809497020223561,0.14542581639101507,2.0154553143320415,8.738147926564814,0.31575311067865075,3.92078106464622,30.421528744487286,70.98518579883502,0.18087143527993746
27,29,6.330096390026903,24.91937338506917,15.60288800955368,0.04937005618825447,1.4028961861742846,8.161095809179828,0.10771716266239961,0.4224046841953938,7.806168375662219,8.907337060720756,2.4680692787419107,2.1945840543469664,31.56389486335864,13.458978768922282,0.4432019913224662
26,24,5.746188889750881,16.907527621315438,5.273858994710961,0.02956117151232318,2.827441875687731,7.838700455211937,0.14362403878072033,0.20128299265694297,7.2565214602635635,7.958999789561942,2.618668764987634,3.171608525910477,25.99121802929092,61.140503409999525,0.33664157384157206
38,23,5.635998813437248,11.336914703460375,21.10028852372578,0.06477501010662055,2.8632197285946948,8.383513497380198,0.13666913483993948,0.1995715950858375,7.858433537755727,6.0088002024676515,1.9543314565120558,2.7334224808715253,27.630090799437053,45.858265186551726,0.35243030433916755
30,18,9.32330196070209,22.46926560057717,28.59719071089013,0.07205517686493318,0.7940636309873399,8.126417979176745,0.14825789229922046,0.3361523860815443,4.8432432540986845,6.042069781743876,1.3977760004903859,2.1064891083748045,26.97499490105197,98.00736704307717,0.44923104516215284
30,34,6.217389842024336,19.057501002325054,5.838504826205182,0.03790497459491448,1.9099289181323977,8.135877433307858,0.1027834037561274,0.12804721829879587,8.56397155726284,7.583161431180292,2.020301735738361,4.898759681809853,31.026090864882704,55.68042241994734,0.22972394190483708
23,28,8.258553239554843,32.83264918071627,22.54872766247116,0.07040456754576924,1.4748211659127872,8.112069248701436,0.12879309384377668,0.11051909067386743,2.3576554513508956,5.470398466394807,2.1493827175448583,2.035006580807278,28.418482341968403,59.7040977205241,0.33188301192028075
27,34,9.05342963993133,20.628032945231396,19.702668224300105,0.028695250521943272,2.639486869999707,8.166439067786772,0.13404003314893403,0.2044114661173797,8.04344880497622,8.793237521721466,2.6897868784493073,2.23717225489212,25.187935540909663,74.11263970985372,0.3748976206025124
22,24,8.07040655592368,38.47213588944532,18.34094103622679,0.04742626461528667,0.8871495064005543,7.958579851664253,0.11480316573308617,0.3152270202939291,4.136575530792702,5.899251598040738,2.8719988730867403,1.646350007032273,29.955750847868778,53.6084633013082,0.23243062848408297
21,34,9.297826158234729,38.869306089633525,12.923366571273498,0.07011330008870928,0.11073697981400887,7.9723448087849045,0.08387499042145072,0.4630465544900909,5.814702198864572,8.998542501701776,1.591530703933643,4.291922501257162,27.72088668478622,30.211175734907627,0.05089153671151878
31,26,6.961968607642373,28.627257706531243,11.943686137106752,0.03281169398310533,0.5714274972011038,8.10680345387768,0.09699784346577944,0.43857407052292274,8.581090172457763,6.982935181209841,2.4156341472270313,3.3463576022179575,28.718027343597086,58.355006189360324,0.38800548685623676
25,34,9.781110953244742,37.859808610446485,3.26697729252886,0.076782958555466,1.1136161233912545,8.284011512858148,0.13579170722435677,0.2961785839683902,4.170872281529096,8.085719955971745,2.897077712375799,3.4521570258895427,31.256511989069985,94.98419838016484,0.03343001284424729
21,25,5.665725020890485,32.825630335434866,8.101443831056377,0.018531565124696857,1.015591276334417,7.829918745896507,0.0798547925982164,0.11482079747739711,3.481660093151148,5.008736378022229,0.5386056806262014,4.282245647196391,26.79716442242968,46.891988935162466,0.3617780568441417
20,34,5.5107476482876905,26.405789229253784,2.424952704031153,0.011279254880645437,2.394952465456369,8.162042527332147,0.14237431312666485,0.3141010938517237,7.450505482783074,8.554985619006567,0.1529771466680624,2.3716786345195175,26.68185272928524,71.16768594997058,0.456328852177031
31,24,8.293460731037218,15.409238062683343,18.279678956296575,0.07328947468047335,2.0736259318026296,8.284066885503789,0.0729806341422665,0.3819182399701182,6.267159132054436,6.080008179122322,2.6199949412600523,1.774533701520855,26.842347529260625,98.02307699971165,0.18001480920130908
31,18,9.714155707066308,23.757938305415202,4.963890604581447,0.014805406630351056,0.968713326883202,7.894150363222336,0.12495164151567807,0.23566581301001352,6.115230949969476,7.671746978192261,0.6662926664167662,1.7936214559756158,27.366755938817917,84.69300816851414,0.060010274717535145
36,30,9.04441730818164,26.826233900878528,26.44454303283205,0.07943224371632442,1.4274570697820188,7.809013525188339,0.11305592343457384,0.1444253213126619,4.054156124303305,8.225421123174359,0.22318842323222277,3.9304792858490374,25.7514778225227,69.31307197749913,0.12410335499751214
29,34,5.382084297190257,35.918847422050305,16.648004579520627,0.07659778033853742,0.37712140147917217,7.987627977084875,0.12495994411207623,0.2114271812822638,2.2790424465602213,5.656590962236008,0.5642787992065893,3.45646061784979,29.880537625660125,76.2396839497463,0.2855179664214423
35,30,6.396838569673582,24.440001296069944,21.591317453643835,0.019591463702542448,2.704624689978292,8.15288622403776,0.09373475724325947,0.4086355457871256,5.282153106653735,6.770037925316916,1.213933242606931,1.8253555143283555,26.451791024803956,94.28349232153676,0.4719032741219823
34,33,9.651594424189119,36.9302401803387,13.5039985715339,0.047630923798479614,2.812731990900749,7.882969904042849,0.14326410625539845,0.24049753291333134,2.852475843742144,6.975343762607693,0.7358705346184822,1.5802615785616942,31.4830202308941,96.3776893960321,0.26101853764419725
34,25,6.265292164003923,30.230469370704068,17.69623465202936,0.022944420822700103,2.9414302526047207,8.05567342258349,0.11324722024114774,0.4247925962742841,9.247913205193617,6.248477861356818,0.9852355243912848,1.4827492206478912,26.509804197369096,97.20713172897962,0.06524127121638117
38,18,8.905852118934597,14.10997189161014,28.394456955065653,0.039970862112108395,2.618803209278929,8.131392898424567,0.07882958045542562,0.22780858072299034,2.330002587773844,6.927023318915926,2.9283527491471344,3.511194590812151,26.789494205161425,66.30774653822698,0.3176137551210056
31,31,9.12566097964352,39.84944107975279,4.316553109462781,0.014299759048188289,0.604486574319054,8.15932985685439,0.11384550706521436,0.16542201536552725,5.453206833475051,6.270182630621353,2.1427760780714675,1.0004745796434,27.079141601675715,44.62404848787129,0.3690940190260913
39,32,7.477260517304909,25.816979822617377,9.110257613863492,0.02567472114576127,0.2339698012847236,7.964647032600225,0.07868157472070311,0.27433934380544334,2.417964669606623,6.442990980220837,2.1653560119342914,1.073277370414175,30.37976667907991,21.983781606066994,0.20270899829646757
22,19,6.931744549241578,21.755748892272365,23.83967315349524,0.03542909574792297,1.7808305094967547,8.040017781591775,0.07936323917598742,0.2809098049156556,2.7643509965181305,7.677324714810956,0.37458758671097614,2.558212542504381,27.993245412094208,44.69932012063626,0.36354189152925315
24,34,7.250622162098798,29.773412934085794,4.764641792714643,0.04070532501722384,2.74655457796102,8.267003537440536,0.0899598511620868,0.1064432874197348,7.270933335376176,7.530373073219988,2.223085272485806,3.7653994571046496,30.73534236821433,94.86599092620571,0.169163179418203
38,23,6.13482347182682,13.266799419431173,4.118510909315104,0.07842473807462252,0.6143189488132542,8.364728816472411,0.13524304175691187,0.14681802908253047,7.176890087792756,5.9290629031901005,2.244098565570384,3.7801575059896155,30.49397598649052,90.08173725331507,0.39665417428224253
26,21,9.44695458064422,29.09615940260063,12.12315916511308,0.06655059519787869,0.1204244524100114,8.317128198670954,0.10002978743939919,0.17397040750912698,2.2644175590355182,8.589931539181698,2.0132605533792334,2.7204730944307625,31.506432959372265,57.12936958565908,0.1771253581893338
28,18,7.253098283648789,24.94708001497819,4.580702837228104,0.06161869610183624,2.4359385334935086,8.13857010104006,0.11789008422302073,0.14543492695146998,2.0090518009669616,8.451154182685563,0.7624652583938377,3.7642944264182785,30.296229085728385,58.33065579345316,0.1354924748843067
26,25,9.412297202280499,22.200222099957493,18.382196381773685,0.0475928920319382,0.32270748443152864,8.046175681766368,0.0891967740274463,0.23661043016854555,2.630544617942272,7.036333226759806,1.3268049193383364,3.0843847183205018,25.36337818768344,37.80283146354726,0.44079888888687174
37,24,5.528467399531371,38.590600635366975,8.335707022864796,0.06879984324230404,1.2997474925390882,7.999773968622851,0.07636054398068814,0.4858491422468072,8.103991181695537,6.7330029707830015,2.5542017185419135,4.907725667189261,30.86096891589341,50.90571010634333,0.2787519763759441
23,20,9.941376355000656,25.676191501961597,27.079542969582427,0.03375259849589978,2.0687732778474763,7.874973939650411,0.14546401607162313,0.3036890153308312,6.676611782012057,6.507423931936435,2.043584725087816,1.6498408553473323,31.56650817693788,74.30036445454556,0.14972658148342555
33,27,7.216365437218091,16.573524384098153,23.938002263667187,0.05962293789413213,0.7867129978229224,7.863930748329667,0.11035812471230626,0.3510224095482586,2.304945961507933,7.829071674665757,2.2250296214997167,3.4026690708224225,31.95582434784768,46.21876530830127,0.468192575927063
