Salinity (psu),Temperature (°C),Initial Polyps,End Polyps,Net Increase,Ammonia Nitrogen (mg/L),Oxygen Consumption,pH,Phosphate (mg/L),Nitrate (mg/L),Turbidity (NTU),Dissolved Oxygen (mg/L),Chlorophyll-a concentration (mg/m³),Biological Oxygen Demand (BOD) (mg/L),Sea Surface Temperature (SST) (°C),Total Suspended Solids (TSS) (mg/L),Water Current Speed (m/s),Quality_Index,Suitability,Predicted_Suitability,Cluster,Cluster_Label
26,24,6.857042838250704,11.818867781994046,18.90631577401469,0.047447667138661,0.7314712440186637,8.349100282784732,0.1102669960944505,0.3958431876000549,2.559134495103581,6.994534025761116,0.345418867008262,3.669447189967232,25.6706374905082,78.5337117697088,0.2325722382765287,33.30919054896108,0,0,1,Far Suitable
30,28,7.496669174893091,37.91820414539611,6.853605483307864,0.032450716712197,0.385200272611618,8.158912499963117,0.0580949702022356,0.145425816391015,2.015455314332041,8.738147926564814,0.3157531106786507,3.92078106464622,30.421528744487286,70.98518579883502,0.1808714352799374,41.29905841540635,0,0,1,Far Suitable
27,29,6.330096390026903,24.91937338506917,15.60288800955368,0.0493700561882544,1.4028961861742846,8.161095809179828,0.1077171626623996,0.4224046841953938,7.806168375662219,8.907337060720756,2.4680692787419107,2.1945840543469664,31.56389486335864,13.458978768922282,0.4432019913224662,31.656151589016712,0,0,1,Far Suitable
23,28,8.258553239554843,32.83264918071627,22.54872766247116,0.0704045675457692,1.4748211659127872,8.112069248701436,0.1287930938437766,0.1105190906738674,2.357655451350896,5.470398466394807,2.1493827175448583,2.035006580807278,28.418482341968403,59.7040977205241,0.3318830119202807,30.19385544578524,0,0,1,Far Suitable
27,34,9.05342963993133,20.6280329452314,19.702668224300105,0.0286952505219432,2.639486869999707,8.166439067786772,0.134040033148934,0.2044114661173797,8.04344880497622,8.793237521721466,2.689786878449308,2.23717225489212,25.187935540909663,74.11263970985372,0.3748976206025124,28.986486465867777,0,0,1,Far Suitable
22,24,8.07040655592368,38.47213588944532,18.34094103622679,0.0474262646152866,0.8871495064005543,7.958579851664253,0.1148031657330861,0.3152270202939291,4.136575530792702,5.899251598040738,2.8719988730867403,1.646350007032273,29.95575084786877,53.6084633013082,0.2324306284840829,29.67106067098796,0,0,1,Far Suitable
21,34,9.297826158234727,38.869306089633525,12.923366571273498,0.0701133000887092,0.1107369798140088,7.972344808784904,0.0838749904214507,0.4630465544900909,5.814702198864572,8.998542501701776,1.591530703933643,4.291922501257162,27.72088668478622,30.211175734907627,0.0508915367115187,27.16338804843914,0,0,1,Far Suitable
25,34,9.781110953244742,37.859808610446485,3.26697729252886,0.076782958555466,1.1136161233912545,8.284011512858148,0.1357917072243567,0.2961785839683902,4.170872281529096,8.085719955971745,2.897077712375799,3.4521570258895427,31.256511989069985,94.98419838016484,0.0334300128442472,31.18826993257183,0,0,1,Far Suitable
20,34,5.5107476482876905,26.405789229253784,2.424952704031153,0.0112792548806454,2.394952465456369,8.162042527332147,0.1423743131266648,0.3141010938517237,7.450505482783074,8.554985619006567,0.1529771466680624,2.371678634519517,26.68185272928524,71.16768594997058,0.456328852177031,28.566535859843103,0,0,1,Far Suitable
31,18,9.714155707066308,23.7579383054152,4.963890604581447,0.014805406630351,0.968713326883202,7.894150363222336,0.124951641515678,0.2356658130100135,6.115230949969476,7.671746978192261,0.6662926664167662,1.7936214559756158,27.36675593881792,84.69300816851414,0.0600102747175351,35.39049899940719,0,0,1,Far Suitable
