Salinity (psu),Temperature (°C),Initial Polyps,End Polyps,Net Increase,Ammonia Nitrogen (mg/L),Oxygen Consumption,pH,Phosphate (mg/L),Nitrate (mg/L),Turbidity (NTU),Dissolved Oxygen (mg/L),Chlorophyll-a concentration (mg/m³),Biological Oxygen Demand (BOD) (mg/L),Sea Surface Temperature (SST) (°C),Total Suspended Solids (TSS) (mg/L),Water Current Speed (m/s),Quality_Index,Suitability,Predicted_Suitability,Cluster,Cluster_Label,Predicted_Label
34,30.0,8.23045061731254,30.702896747135306,25.02985018012636,1.2124755266103748,1.762952293531417,6.617718925420469,0.0026428871501631146,7.363104349750154,5.0,5.753353481364179,1.6001316265269871,2.1782284610472757,30.73489719700519,34.73842852829378,0.3502950735571625,7.574459632117112,0,0,0,1,0.1
26,24.0,5.746188889750881,16.907527621315438,5.273858994710961,0.4166300404604792,2.827441875687731,6.620361104304717,0.09999999999999999,2.5131168518786065,5.0,8.00883043782892,2.618668764987634,3.0,25.99121802929092,61.140503409999525,0.336641573841572,26.414856348595148,0,0,0,0,2.0
38,23.0,5.635998813437248,11.336914703460376,21.10028852372578,1.173983187444007,2.8632197285946948,8.448318051879554,0.09999999999999999,2.470194351721751,5.0,6.022870516748723,1.954331456512056,2.599229083137427,27.630090799437053,45.858265186551726,0.3524303043391675,18.818136157813967,0,0,0,0,2.0
30,22.0,9.32330196070209,22.46926560057717,28.59719071089013,1.3305596194682567,0.7940636309873399,7.5857110613787455,0.09999999999999999,5.8956923902342115,4.732437230194677,6.0567501521824605,1.397776000490386,1.6567015086866905,26.97499490105197,98.00736704307717,0.4492310451621528,29.63564466482856,0,0,0,2,1.0
31,26.0,6.961968607642373,28.627257706531243,11.943686137106752,0.4865398691204606,0.5714274972011038,7.519900397869087,0.09397936469425851,8.464467081003955,5.0,7.014867970910198,2.415634147227032,3.0,28.71802734359709,58.35500618936032,0.3880054868562367,17.059397206295124,1,0,0,0,2.0
31,24.0,8.293460731037218,15.409238062683343,18.27967895629657,1.3571059822685239,2.0736259318026296,8.114654738004411,0.04581436838234397,7.043517363155079,5.0,6.095384216696783,2.6199949412600523,1.1576418985691945,26.842347529260625,98.02307699971163,0.180014809201309,25.56516355226179,0,0,0,2,1.0
29,30.0,5.382084297190257,35.918847422050305,16.648004579520627,1.4282585689031435,0.3771214014791721,7.120042788152265,0.09999999999999999,2.767536949939316,0.3556898917805902,5.66420290161691,0.5642787992065893,3.0,29.880537625660125,76.2396839497463,0.2855179664214423,23.203022409340285,0,0,0,2,1.0
35,30.0,6.396838569673582,24.440001296069944,21.591317453643835,0.2022089524548556,2.704624689978292,7.674517327637069,0.08743545137959756,7.713597525989785,5.0,6.798066869982233,1.213933242606931,1.2340470830051107,26.45179102480396,94.28349232153676,0.4719032741219823,28.615353975909738,0,0,0,2,1.0
34,25.0,6.265292164003923,30.230469370704068,17.69623465202936,0.27432186964938976,2.9414302526047207,7.34834889542714,0.09999999999999999,8.118822480014602,5.0,6.266943086388335,0.9852355243912848,0.7189749985693861,26.509804197369096,97.20713172897962,0.0652412712163811,18.422320888826693,1,0,0,2,1.0
24,30.0,7.250622162098798,29.7734129340858,4.764641792714643,0.6563102362108753,2.74655457796102,8.057403785426299,0.079865115666218,0.1345010751302631,5.0,7.572344097972991,2.223085272485806,3.0,30.73534236821433,94.86599092620573,0.169163179418203,20.084834751280702,0,0,0,2,1.0
38,23.0,6.13482347182682,13.266799419431171,4.118510909315104,1.4675514221126775,0.6143189488132542,8.385291682619545,0.09999999999999999,1.1471149087673878,5.0,5.941671094069972,2.244098565570384,3.0,30.49397598649052,90.08173725331508,0.3966541742822425,16.566844463085772,1,0,0,2,1.0
23,22.0,9.941376355000656,25.6761915019616,27.079542969582427,0.5067761461701101,2.0687732778474763,6.742065914505606,0.09999999999999999,5.081498739579736,5.0,6.530637387882133,2.043584725087816,0.9701794806933561,31.56650817693788,74.30036445454556,0.1497265814834255,27.386021144128893,0,0,0,2,1.0
28,30.0,5.190109241187274,37.581622137180176,19.27443276676605,0.4695992387331231,2.333061562521903,7.013510721203229,0.04052135090776422,3.2181792827921174,5.0,5.794683882552303,1.4038011374241577,1.1626507203723198,29.29291288528574,58.677362094257,0.1181431958312279,17.057323664426036,1,0,0,0,2.0
21,22.0,8.731036287409193,15.28286413991784,26.177040449560973,1.0106617368940725,1.92750774617242,7.003177919020047,0.02918685487660337,0.20511291028599876,5.0,7.730653764659106,2.301250829194614,3.0,26.39621066118912,30.28032203088952,0.3111747537504625,20.583357806528,0,0,0,1,0.0
